filename,H,pitch,accurate,correct,performance,,,,,,,,,,
DJI_20250318173749_0008_V.JPG,50,-86.4,0,1,0,,,,,,,,,,
DJI_20250318173103_0056_V.JPG,60,-85.6,0.879050086,1,0.879050086,,,,,,,,,,
DJI_20250318173843_0009_V.JPG,50,-85.2,0.6495685,1,0.6495685,,,,,,,,,,
DJI_20250601174511_0010_V.JPG,40,-84.4,0.514762797,1,0.514762797,,,,,,,,,,
DJI_20250601174516_0011_V.JPG,40,-84.4,0.49158309,1,0.49158309,,,,,,,,,,
DJI_20250601174520_0012_V.JPG,40,-84.4,0.498877569,1,0.498877569,,,,,,,,,,
DJI_20250601174445_0009_V.JPG,40,-84.4,0,1,0,,,,,,,,,,
DJI_20250601174523_0013_V.JPG,40,-84.4,0.42158946,1,0.42158946,,,,,,,,,,
DJI_20250601174436_0008_V.JPG,50,-84.4,0.689081009,1,0.689081009,,,,,,,,,,
DJI_20250601174526_0014_V.JPG,50,-84.4,0.849625148,1,0.849625148,,,,,,,,,,
DJI_20250601174432_0007_V.JPG,50,-84.4,0.387344622,1,0.387344622,,,,,,,,,,
DJI_20250601174529_0015_V.JPG,50,-84.4,0.851278998,1,0.851278998,,,,,,,,,,
DJI_20250601174532_0016_V.JPG,60,-84.4,0.673841631,1,0.673841631,,,,,,,,,,
DJI_20250601174429_0006_V.JPG,60,-84.4,0.710676549,1,0.710676549,,,,,,,,,,
DJI_20250601174534_0017_V.JPG,60,-84.4,0.686299894,1,0.686299894,,,,,,,,,,
DJI_20250601174427_0005_V.JPG,60,-84.4,0.68135746,1,0.68135746,,,,,,,,,,
DJI_20250601174422_0004_V.JPG,70,-84.4,0.46806728,1,0.46806728,,,,,,,,,,
DJI_20250601174417_0003_V.JPG,70,-84.4,0.695472593,1,0.695472593,,,,,,,,,,
DJI_20250603180644_0047_V.JPG,40,-82.6,0,1,0,,,,,,,,,,
DJI_20250603180647_0048_V.JPG,50,-82.6,0,1,0,,,,,,,,,,
DJI_20250603180649_0049_V.JPG,50,-82.6,0,1,0,,,,,,,,,,
DJI_20250602163620_0023_V.JPG,40,-81,0.364850976,1,0.364850976,,,,,,,,,,
DJI_20250602163625_0024_V.JPG,40,-81,0.328732164,1,0.328732164,,,,,,,,,,
DJI_20250602163617_0022_V.JPG,40,-81,0.264034875,1,0.264034875,,,,,,,,,,
DJI_20250602163632_0026_V.JPG,40,-81,0.471017058,1,0.471017058,,,,,,,,,,
DJI_20250602163628_0025_V.JPG,40,-81,0.439479922,1,0.439479922,,,,,,,,,,
DJI_20250602163635_0027_V.JPG,40,-81,0.489193819,1,0.489193819,,,,,,,,,,
DJI_20250602163641_0029_V.JPG,50,-81,0.502904559,1,0.502904559,,,,,,,,,,
DJI_20250602163637_0028_V.JPG,50,-81,0.345329364,1,0.345329364,,,,,,,,,,
DJI_20250602163647_0030_V.JPG,50,-81,0.316736221,1,0.316736221,,,,,,,,,,
DJI_20250602163650_0031_V.JPG,50,-81,0.498879742,1,0.498879742,,,,,,,,,,
DJI_20250602163611_0021_V.JPG,50,-81,0.359738567,1,0.359738567,,,,,,,,,,
DJI_20250602163654_0032_V.JPG,60,-81,0.547742483,1,0.547742483,,,,,,,,,,
DJI_20250602163657_0033_V.JPG,60,-81,0.398367918,1,0.398367918,,,,,,,,,,
DJI_20250602163659_0034_V.JPG,60,-81,0.364286534,1,0.364286534,,,,,,,,,,
DJI_20250602163603_0020_V.JPG,70,-81,0.410024716,1,0.410024716,,,,,,,,,,
DJI_20250602163703_0035_V.JPG,70,-81,0.371971634,1,0.371971634,,,,,,,,,,
DJI_20250602163705_0036_V.JPG,80,-81,0.233941778,1,0.233941778,,,,,,,,,,
DJI_20250602163708_0037_V.JPG,80,-81,0.294444747,1,0.294444747,,,,,,,,,,
DJI_20250318172607_0041_V.JPG,60,-80.7,0.501661494,1,0.501661494,,,,,,,,,,
DJI_20250602163938_0060_V.JPG,40,-80.6,0.615083216,1,0.615083216,,,,,,,,,,
DJI_20250318172723_0045_V.JPG,60,-80.1,0.205132155,1,0.205132155,,,,,,,,,,
DJI_20250318172731_0048_V.JPG,60,-80.1,0.104682107,1,0.104682107,,,,,,,,,,
DJI_20250318172725_0046_V.JPG,60,-80.1,0.3278265,1,0.3278265,,,,,,,,,,
DJI_20250318172729_0047_V.JPG,60,-80.1,0.258577279,1,0.258577279,,,,,,,,,,
DJI_20250318172738_0050_V.JPG,60,-80.1,0.381204859,1,0.381204859,,,,,,,,,,
DJI_20250318172732_0049_V.JPG,60,-80.1,0.278502568,1,0.278502568,,,,,,,,,,
DJI_20250402175155_0025_V.JPG,50,-78.7,0.018444584,1,0.018444584,,,,,,,,,,
DJI_20250402175227_0028_V.JPG,50,-78.7,0.538104153,1,0.538104153,,,,,,,,,,
DJI_20250318172605_0040_V.JPG,60,-76.2,0.441397637,1,0.441397637,,,,,,,,,,
DJI_20250316143054_0005_V.JPG,30,-73.7,0.785209719,1,0.785209719,,,,,,,,,,
DJI_20250318172419_0031_V.JPG,60,-73.3,0.682939621,1,0.682939621,,,,,,,,,,
DJI_20250318172431_0033_V.JPG,60,-73.3,0.717412396,1,0.717412396,,,,,,,,,,
DJI_20250318172434_0035_V.JPG,60,-73.3,0.707766287,1,0.707766287,,,,,,,,,,
DJI_20250318172445_0037_V.JPG,60,-73.3,0.990633616,1,0.990633616,,,,,,,,,,
DJI_20250318172332_0024_V.JPG,60,-73.3,0.589912545,1,0.589912545,,,,,,,,,,
DJI_20250318172330_0023_V.JPG,60,-73.3,0.734312251,1,0.734312251,,,,,,,,,,
DJI_20250318172350_0025_V.JPG,60,-73.3,0.60305865,1,0.60305865,,,,,,,,,,
DJI_20250318172433_0034_V.JPG,60,-73.2,0.861666646,1,0.861666646,,,,,,,,,,
DJI_20250318172436_0036_V.JPG,60,-73.2,0.85928075,1,0.85928075,,,,,,,,,,
DJI_20250318173654_0001_V.JPG,50,-71.5,0.512411077,1,0.512411077,,,,,,,,,,
DJI_20250318172557_0038_V.JPG,60,-71.5,0.388440365,1,0.388440365,,,,,,,,,,
DJI_20250318172558_0039_V.JPG,60,-71.5,0.374627019,1,0.374627019,,,,,,,,,,
DJI_20250318172059_0022_V.JPG,50,-68.7,0.504061292,1,0.504061292,,,,,,,,,,
DJI_20250318172057_0021_V.JPG,50,-60.6,0.662701979,1,0.662701979,,,,,,,,,,
DJI_20250318172054_0020_V.JPG,50,-58.9,0.577703654,1,0.577703654,,,,,,,,,,
DJI_20250601173454_0031_V.JPG,50,-50,0.71073863,1,0.71073863,,,,,,,,,,
