filename,H,pitch,accurate,correct,performance,,
DJI_20250318172059_0022_V.JPG,57.847,-68.7,0.197479715,1,0.197479715,,
DJI_20250318172330_0023_V.JPG,63.477,-73.3,0.519986066,1,0.519986066,,
DJI_20250318172332_0024_V.JPG,63.353,-73.3,0.230889172,1,0.230889172,,
DJI_20250318172350_0025_V.JPG,63.612,-73.3,0.396716127,1,0.396716127,,
DJI_20250318172419_0031_V.JPG,63.158,-73.3,0.067705909,1,0.067705909,,
DJI_20250318172433_0034_V.JPG,63.236,-73.2,0.392635036,1,0.392635036,,
DJI_20250318172434_0035_V.JPG,63.269,-73.3,0.595629962,1,0.595629962,,
DJI_20250318172436_0036_V.JPG,63.274,-73.2,0.626860324,1,0.626860324,,
DJI_20250318172445_0037_V.JPG,63.324,-73.3,0.998650411,1,0.998650411,,
DJI_20250318172557_0038_V.JPG,63.255,-71.5,0.278403898,1,0.278403898,,
DJI_20250318172558_0039_V.JPG,63.29,-71.5,0.267950035,1,0.267950035,,
DJI_20250318172607_0041_V.JPG,63.167,-80.7,0.263974646,1,0.263974646,,
DJI_20250318172723_0045_V.JPG,62.836,-80.1,0.101063254,1,0.101063254,,
DJI_20250318172725_0046_V.JPG,62.894,-80.1,0.169298682,1,0.169298682,,
DJI_20250318172729_0047_V.JPG,62.917,-80.1,0.15224935,1,0.15224935,,
DJI_20250318172731_0048_V.JPG,62.882,-80.1,0,1,0,,
DJI_20250318172732_0049_V.JPG,62.969,-80.1,0.167540562,1,0.167540562,,
DJI_20250318172822_0051_V.JPG,62.678,-89.9,0.447463746,1,0.447463746,,
DJI_20250318172917_0052_V.JPG,65.373,-89.9,0.859937185,1,0.859937185,,
DJI_20250318172939_0053_V.JPG,65.104,-89.9,0.8589816,1,0.8589816,,
DJI_20250318173014_0055_V.JPG,64.857,-89.9,0.650622029,1,0.650622029,,
DJI_20250318173103_0056_V.JPG,64.53,-85.6,0.40322024,1,0.40322024,,
DJI_20250318173131_0057_V.JPG,64.554,-90,0.851387726,1,0.851387726,,
DJI_20250318173221_0058_V.JPG,64.309,-90,0.479312217,1,0.479312217,,
DJI_20250318173235_0062_V.JPG,64.635,-90,0.281471469,1,0.281471469,,
DJI_20250318173654_0001_V.JPG,54.365,-71.5,0.120367667,1,0.120367667,,
DJI_20250318173749_0008_V.JPG,53.526,-86.4,0,1,0,,
DJI_20250318173843_0009_V.JPG,53.867,-85.2,0.377693111,1,0.377693111,,
DJI_20250401164605_0039_V.JPG,39.463,-90,0.976648923,1,0.976648923,,
DJI_20250401164627_0041_V.JPG,39.496,-90,0,1,0,,
DJI_20250401164649_0043_V.JPG,39.604,-90,0.834702538,1,0.834702538,,
DJI_20250401164858_0054_V.JPG,36.04,-89.9,0.667784101,1,0.667784101,,
DJI_20250402170159_0064_V.JPG,81.9,-89.9,0.106212622,1,0.106212622,,
DJI_20250402170210_0065_V.JPG,81.933,-89.9,0.329680409,1,0.329680409,,
DJI_20250402175227_0028_V.JPG,57.228,-78.7,0.25288179,1,0.25288179,,
DJI_20250402175355_0030_V.JPG,68.633,-89.9,0.943211277,1,0.943211277,,
DJI_20250402175401_0031_V.JPG,68.693,-90,0.977193022,1,0.977193022,,
DJI_20250514142903_0045_V.JPG,36.403,-89.9,0.206610128,1,0.206610128,,
DJI_20250514143028_0046_V.JPG,36.963,-89.9,0.35621535,1,0.35621535,,
DJI_20250527173848_0001_V.JPG,63.944,-89.9,0.00948338,1,0.00948338,,
DJI_20250527173958_0004_V.JPG,64.87,-89.9,0.399630844,1,0.399630844,,
DJI_20250527174401_0031_V.JPG,55.07,-90,0.181178068,1,0.181178068,,
DJI_20250527174408_0032_V.JPG,55.048,-89.9,0,1,0,,
DJI_20250527174410_0033_V.JPG,55.053,-89.9,0,1,0,,
DJI_20250527174412_0034_V.JPG,55.111,-89.9,0,1,0,,
DJI_20250527174417_0035_V.JPG,54.756,-89.9,0,1,0,,
DJI_20250527174418_0036_V.JPG,54.666,-89.9,0,1,0,,
DJI_20250527174419_0037_V.JPG,54.689,-90,0.549659155,1,0.549659155,,
DJI_20250527174421_0038_V.JPG,54.794,-89.9,0,1,0,,
DJI_20250527174422_0039_V.JPG,54.86,-89.9,0,1,0,,
DJI_20250527174424_0040_V.JPG,54.846,-89.9,0,1,0,,
DJI_20250527174425_0041_V.JPG,54.859,-89.9,0,1,0,,
DJI_20250601173601_0033_V.JPG,68.619,-90,0.131971152,1,0.131971152,,
DJI_20250601173622_0034_V.JPG,68.527,-90,0.467560799,1,0.467560799,,
DJI_20250601173732_0035_V.JPG,54.687,-89.9,0.747846788,1,0.747846788,,
DJI_20250601173739_0036_V.JPG,39.73,-89.9,0.829233664,1,0.829233664,,
DJI_20250601173753_0037_V.JPG,45.585,-90,0.451570254,1,0.451570254,,
DJI_20250601173805_0038_V.JPG,50.589,-90,0.11971814,1,0.11971814,,
DJI_20250527174711_0067_V.JPG,113.664,-89.9,0.311080627,1,0.311080627,,
DJI_20250527174722_0068_V.JPG,113.821,-90,0.314607769,1,0.314607769,,
DJI_20250601173026_0005_V.JPG,69.553,-89.9,0,1,0,,
DJI_20250601173031_0006_V.JPG,68.27,-89.9,0,1,0,,
DJI_20250601173044_0007_V.JPG,68.562,-90,0,1,0,,
DJI_20250601173051_0008_V.JPG,71.233,-90,0,1,0,,
DJI_20250601173101_0010_V.JPG,76.606,-89.9,0,1,0,,
DJI_20250601173108_0011_V.JPG,85.358,-90,0,1,0,,
DJI_20250601173159_0012_V.JPG,58.965,-90,0,1,0,,
DJI_20250601173209_0013_V.JPG,57.312,-89.9,0.350266482,1,0.350266482,,
DJI_20250601173255_0014_V.JPG,62.076,-89.9,0.063038967,1,0.063038967,,
DJI_20250601173259_0015_V.JPG,62.078,-89.9,0.230104452,1,0.230104452,,
DJI_20250601173454_0031_V.JPG,59.833,-50,0.384862697,1,0.384862697,,
DJI_20250603180549_0031_V.JPG,35.941,-90,0.068562677,1,0.068562677,,
DJI_20250603180555_0033_V.JPG,43.256,-90,0.114652367,1,0.114652367,,
DJI_20250603180558_0034_V.JPG,47.412,-90,0,1,0,,
DJI_20250603180610_0035_V.JPG,24.816,-90,0.02167926,1,0.02167926,,
DJI_20250603180644_0047_V.JPG,48.059,-82.6,0,1,0,,
DJI_20250603180647_0048_V.JPG,53.266,-82.6,0,1,0,,
DJI_20250603180649_0049_V.JPG,54.527,-82.6,0,1,0,,
DJI_20250601173932_0040_V.JPG,47.291,-90,0.49303467,1,0.49303467,,
DJI_20250601173945_0041_V.JPG,47.286,-89.9,0.204882878,1,0.204882878,,
DJI_20250601173949_0042_V.JPG,47.833,-89.9,0.185544523,1,0.185544523,,
DJI_20250601173958_0043_V.JPG,50.646,-89.9,0.203236098,1,0.203236098,,
DJI_20250601174008_0044_V.JPG,55.617,-89.9,0.127722707,1,0.127722707,,
DJI_20250601174039_0045_V.JPG,55.637,-89.9,0.176968503,1,0.176968503,,
DJI_20250601174422_0004_V.JPG,74.272,-84.4,0.419996295,1,0.419996295,,
DJI_20250601174427_0005_V.JPG,68.952,-84.4,0.562962227,1,0.562962227,,
DJI_20250601174429_0006_V.JPG,66.97,-84.4,0.45786469,1,0.45786469,,
DJI_20250601174432_0007_V.JPG,56.674,-84.4,0.339743005,1,0.339743005,,
DJI_20250601174436_0008_V.JPG,53.886,-84.4,0.624348192,1,0.624348192,,
DJI_20250601174445_0009_V.JPG,47.68,-84.4,0,1,0,,
DJI_20250601173816_0039_V.JPG,55.637,-89.9,0.560525139,1,0.560525139,,
DJI_20250601174417_0003_V.JPG,76.4,-84.4,0,1,0,,
DJI_20250601174511_0010_V.JPG,42.995,-84.4,0.352576263,1,0.352576263,,
DJI_20250602161647_0013_V.JPG,44.147,-90,0.193569233,1,0.193569233,,
DJI_20250602161946_0025_V.JPG,47.194,-90,0.111970525,1,0.111970525,,
DJI_20250602162721_0051_V.JPG,51.455,-90,0,1,0,,
DJI_20250602162838_0059_V.JPG,43.216,-90,0.185787189,1,0.185787189,,
DJI_20250602162930_0069_V.JPG,76.008,-90,0.139195879,1,0.139195879,,
DJI_20250602163548_0019_V.JPG,71.466,-90,0.436970899,1,0.436970899,,
DJI_20250602163632_0026_V.JPG,48.701,-81,0.116501013,1,0.116501013,,
DJI_20250602163802_0040_V.JPG,44.211,-90,0.734712381,1,0.734712381,,
DJI_20250602164046_0074_V.JPG,45.284,-90,0.087639689,1,0.087639689,,
DJI_20250602164052_0076_V.JPG,50.579,-90,0.068546011,1,0.068546011,,
DJI_20250603180526_0026_V.JPG,27.751,-90,0.034342422,1,0.034342422,,
DJI_20250601174516_0011_V.JPG,45.135,-84.4,0.133172244,1,0.133172244,,
DJI_20250601174520_0012_V.JPG,47.171,-84.4,0.131800898,1,0.131800898,,
DJI_20250601174523_0013_V.JPG,49.679,-84.4,0.24074557,1,0.24074557,,
DJI_20250601174526_0014_V.JPG,54.191,-84.4,0.275973649,1,0.275973649,,
DJI_20250601174529_0015_V.JPG,57.647,-84.4,0.612250214,1,0.612250214,,
DJI_20250601174532_0016_V.JPG,64.984,-84.4,0.58655616,1,0.58655616,,
DJI_20250601174534_0017_V.JPG,68.778,-84.4,0.53856146,1,0.53856146,,
DJI_20250602161547_0008_V.JPG,38.903,-89.9,0.054239862,1,0.054239862,,
DJI_20250602161555_0009_V.JPG,35.508,-89.9,0.019370029,1,0.019370029,,
DJI_20250602161613_0010_V.JPG,40.607,-90,0.25182541,1,0.25182541,,
DJI_20250602161617_0011_V.JPG,40.548,-89.9,0.22200483,1,0.22200483,,
DJI_20250602161641_0012_V.JPG,40.568,-89.9,0.096682048,1,0.096682048,,
DJI_20250602163635_0027_V.JPG,49.957,-81,0.06292733,1,0.06292733,,
DJI_20250602163637_0028_V.JPG,51.569,-81,0.095255748,1,0.095255748,,
DJI_20250602163641_0029_V.JPG,51.443,-81,0.067925473,1,0.067925473,,
DJI_20250602163647_0030_V.JPG,54.368,-81,0.165978968,1,0.165978968,,
DJI_20250602163650_0031_V.JPG,57.458,-81,0.106685931,1,0.106685931,,
DJI_20250602163654_0032_V.JPG,61.988,-81,0.312475895,1,0.312475895,,
DJI_20250602163657_0033_V.JPG,66.243,-81,0.263209561,1,0.263209561,,
DJI_20250602163659_0034_V.JPG,69.108,-81,0.237307874,1,0.237307874,,
DJI_20250602163703_0035_V.JPG,74.884,-81,0.130836806,1,0.130836806,,
DJI_20250602163705_0036_V.JPG,80.856,-81,0.171270136,1,0.171270136,,
DJI_20250602163708_0037_V.JPG,88.618,-81,0.194635775,1,0.194635775,,
DJI_20250602163751_0038_V.JPG,42.338,-89.9,0.784547242,1,0.784547242,,
DJI_20250602163759_0039_V.JPG,40.015,-89.9,0.839930942,1,0.839930942,,
DJI_20250602161653_0014_V.JPG,46.946,-89.9,0.2859788,1,0.2859788,,
DJI_20250602161703_0015_V.JPG,48.46,-90,0.409362094,1,0.409362094,,
DJI_20250602161706_0016_V.JPG,50.937,-90,0.331547414,1,0.331547414,,
DJI_20250602161714_0017_V.JPG,58.972,-90,0.23821786,1,0.23821786,,
DJI_20250602161719_0018_V.JPG,74.907,-89.9,0,1,0,,
DJI_20250602161721_0019_V.JPG,76.545,-90,0,1,0,,
DJI_20250602161853_0020_V.JPG,49.874,-90,0.23987789,1,0.23987789,,
DJI_20250602161902_0021_V.JPG,35.315,-89.9,0.31321512,1,0.31321512,,
DJI_20250602161914_0022_V.JPG,39.464,-89.9,0.120383602,1,0.120383602,,
DJI_20250602161928_0023_V.JPG,39.713,-90,0.107554792,1,0.107554792,,
DJI_20250602161932_0024_V.JPG,39.649,-89.9,0.206237384,1,0.206237384,,
DJI_20250602162841_0060_V.JPG,44.584,-89.9,0.166497204,1,0.166497204,,
DJI_20250602162854_0061_V.JPG,45.612,-90,0.117022941,1,0.117022941,,
DJI_20250602162858_0062_V.JPG,47.28,-90,0.169750893,1,0.169750893,,
DJI_20250602162901_0063_V.JPG,48.854,-89.9,0.205873026,1,0.205873026,,
DJI_20250602162906_0064_V.JPG,52.395,-90,0.154395075,1,0.154395075,,
DJI_20250602162911_0065_V.JPG,54.938,-90,0.23696706,1,0.23696706,,
DJI_20250602162916_0066_V.JPG,59.107,-90,0.088608926,1,0.088608926,,
DJI_20250602162919_0067_V.JPG,62.218,-90,0.146593682,1,0.146593682,,
DJI_20250602162926_0068_V.JPG,72.111,-89.9,0.083760371,1,0.083760371,,
DJI_20250602162723_0052_V.JPG,56.167,-90,0,1,0,,
DJI_20250602162724_0053_V.JPG,61.284,-90,0,1,0,,
DJI_20250602162821_0054_V.JPG,36.3,-89.9,0.121096811,1,0.121096811,,
DJI_20250602162823_0055_V.JPG,34.728,-89.9,0.274420046,1,0.274420046,,
DJI_20250602162829_0056_V.JPG,37.373,-89.9,0.2441466,1,0.2441466,,
DJI_20250602162832_0057_V.JPG,39.065,-89.9,0.07188646,1,0.07188646,,
DJI_20250602162835_0058_V.JPG,40.999,-89.9,0.173262033,1,0.173262033,,
DJI_20250602163603_0020_V.JPG,71.283,-81,0.134806289,1,0.134806289,,
DJI_20250602163611_0021_V.JPG,58.146,-81,0.09871252,1,0.09871252,,
DJI_20250602163617_0022_V.JPG,46.677,-81,0.145978002,1,0.145978002,,
DJI_20250602163620_0023_V.JPG,42.741,-81,0.038267786,1,0.038267786,,
DJI_20250602163625_0024_V.JPG,46.205,-81,0.090441748,1,0.090441748,,
DJI_20250602163628_0025_V.JPG,48.705,-81,0.099003509,1,0.099003509,,
DJI_20250602163816_0044_V.JPG,62.203,-90,0.220614219,1,0.220614219,,
DJI_20250602163829_0047_V.JPG,77.935,-90,0.45709163,1,0.45709163,,
DJI_20250602163833_0048_V.JPG,85.42,-90,0.376390114,1,0.376390114,,
DJI_20250602163938_0060_V.JPG,46.576,-80.6,0.095426664,1,0.095426664,,
DJI_20250602164049_0075_V.JPG,48.284,-90,0.027470514,1,0.027470514,,
